Price,Area,Address,Number of bedrooms,Number of bathrooms,Number of floors,Amenities,Street name,Ward name,District name,Number of frontages,Alley or main road,Listing ID
"5,7 tỷ VND",Not explicitly mentioned in the text,"Quang Trung street, Gò Vấp district, Ho Chi Minh City",5,5,3,"Hẻm to xe 7 chố quay đầu, kinh doanh, An ninh dân trí, cao tầng sổ đẹp",Quang Trung,Not explicitly mentioned in the text,Gò Vấp,8m,Hẻm,278490
6.x tỷ,"123,45 m2","Huỳnh Tấn Phát, Quận 7",3,4,3,"Nội thất đẹp, sân rộng",Huỳnh Tấn Phát,Not provided,Quận 7,Not provided,Nhà trong hẻm,278488
"4,8 tỷ VND",4x14,"Lê Lợi, Phường 4, Gò Vấp",6,5,3,"An ninh dân trí, khu sầm uất, Nguyễn Thái Sơn, Lê Quang Định, bệnh viện 175",Lê Lợi,Phường 4,Gò Vấp,Not mentioned,Not mentioned,278487
5 tỷ 900 triệu VND,4.5 x 17m,"đường Huỳnh Tấn Phát, thị trấn Nhà Bè",4,1,3,full nội thất cao cấp,Huỳnh Tấn Phát,thị trấn Nhà Bè,Nhà Bè,4.5m,ngoài lộ,278484
6.5 tỷ VND,4 x 14m,Not specified in the listing,4,5,3,"xe hơi để trong nhà, 1 phòng thờ, sân thượng trước sau",Not specified in the listing,Not specified in the listing,Not specified in the listing,4m,Nhà trong hẻm,278432
4.x tỷ VND,50m2 (4.6 x 11m),"Nhà sát hẻm ôtô 8m kế Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh",2,2,2,"Phòng khách, bếp siêu rộng và hiện đại",Nguyễn Hữu Cảnh,Phường 22,Bình Thạnh,Not mentioned,Nhà trong hẻm,278392
5 tỷ VND,Not mentioned in the text,"Nơ Trang Long, near Phan Văn Trị, Bình Thạnh District",2,2,2,"Near administrative center, schools, and hospitals",Nơ Trang Long,Not mentioned in the text,Bình Thạnh,3,Alley,278386
17 triệu/tháng,47m2,"Nhà hẻm ô tô Kỳ Đồng, P9, Q3",6,4,4,"Tiện ích xung quanh bán kính 500m đầy đủ luôn, Gần ngã 4 Trương Định, BV Tai mũi họng",Kỳ Đồng,P9,Q3,not mentioned,Nhà trong hẻm,278378
4.7 tỷ VND,5 x 13 m2,Tây Hòa,5,5,4,"thoáng mát, yên tĩnh, phù hợp thuê làm văn phòng, kinh doanh, căn hộ, khu an ninh",Not explicitly mentioned,Not explicitly mentioned,Tây Hòa,Not explicitly mentioned,The property is accessible by car and is 50m from the main road,278374
"9,98 tỷ VND",270 m2,"Bình Tân, Gần Mặt Lê Đình Cần",20,Not mentioned,Not mentioned,"Hẻm xe tải thông, Gần tiền, kế chợ, khu vực dân trí cao",Not mentioned,Not mentioned,Bình Tân,13.5m,Hẻm xe tải,278370
5 tỷ VND (còn thương lượng),4.5x16m,"Gần chợ Hiệp Bình, Giga Mall, 700m ra mặt tiền đường Phạm Văn Đồng",4PN,3WC,3 tầng,"ban công đón gió, sân đậu ô tô",Phạm Văn Đồng,Not mentioned,Not mentioned,Not mentioned,Ngoài lộ,278369
6 tỷ,"80,3m2","Nguyễn Bình, Nhà bè",4,5,4,"phòng khách, bếp, gara xe hơi",Nguyễn Bình,Nhà bè,Not explicitly mentioned in the text,Not explicitly mentioned in the text,Hẻm nhựa 7m,278367
3.5 tỷ VND,4.5m × 10m,"Hẻm 3m Trần Xuân Soạn, Quận 7",2,2,2,Sân trước để xe,Trần Xuân Soạn,Not mentioned,Quận 7,Not mentioned,Nhà trong hẻm,278365
4 tỷ VND,Not specified,"Near Bà Chiểu Market, near Bạch Đằng, Đinh Tiên Hoàng streets, 5 minutes to 4 Hàng Xanh intersection",2,2,2,"Balcony, spacious","Bạch Đằng, Đinh Tiên Hoàng",Not specified,Not specified,2,Alley,278364
4 tỷ,ngang 5m nở hậu 6m,"gần khu dân cư Nam Hùng Vương, bến xe miền Tây, đại lộ Võ Văn Kiệt",3,Not mentioned,1 trệt 1 lầu,"chợ, nhà thuốc, cây xăng, nhà trẻ, trường học",Hồ Học Lãm,Not mentioned,Not mentioned,5m,Not mentioned,278363
5.7 tỷ VND,90m2 (9m x 10m),"Đường số 9, Linh Tây, Thủ Đức",11,Not specified,Not specified,"Hẻm Xe Hơi 1 trục, 200m ra Phạm Văn Đồng, Sổ hồng đang ở trong két - có thể sang tên ngay và luôn",Đường số 9,Linh Tây,Thủ Đức,Not specified,Nhà trong hẻm,278431
"8,88 Tỷ","88,6m2 (4.2x21)","Đường Đặng Văn Bi, P. Trường Thọ Tp Thủ Đức",4,5,3,"sân đậu xe hơi, sân thượng, giếng trời, nội thất cao cấp",Đường Đặng Văn Bi,Trường Thọ,Thủ Đức,Not specified,Not specified,278360
5 tỷ VND,65m2 (5 x 13),"Đường Hồ Bá Phấn, TP-Thủ Đức",3,1,2,"Bếp, kinh doanh đa nghề",Hồ Bá Phấn,Not mentioned,TP-Thủ Đức,Not mentioned,Hẻm 1 trục rộng 6m,278429
3 tỷ VND,36 m2,"Huỳnh Tấn Phát, Nhà Bè",2,2,2,"nội thất đầy đủ, bếp, phòng ăn",Huỳnh Tấn Phát,Nhà Bè,not specified,not specified,hẻm,278419
4 tỷ,4m x 10m,"Gần KDC Vạn Phát Hưng, Hoàng Quốc Việt, Quận 7",2,2,2,"Phòng khách, bếp",Hoàng Quốc Việt,Not specified,Quận 7,Not specified,Not specified,278410
2 tỷ 750,"187,4m2",đường 14 F.5 Gò Vấp,6,5,3,"Sổ riêng, sẵn sàng công chứng",đường 14,Gò Vấp,"Not explicitly mentioned in the text, but Gò Vấp is a district in Ho Chi Minh City",4,Ngoài lộ,278405
"3,6 tỷ",50m2,"AEON MALL HƯƠNG LỘ 3, BÌNH HƯNG HÒA",Not mentioned,Not mentioned,2,Not mentioned,Hương Lộ 3,Tân Kỳ Tân Quý,"Bình Long, Bình Hưng Hòa,Bình Tân",6m,Hẻm,278397
2 tỷ 750 triệu VND,"187,4 m2","Đường 14 F.5, Gò Vấp",6,5,3,"Khu đồng bộ văn minh, đối diện Cityland, Emart P5",Đường 14 F.5,Gò Vấp,Gò Vấp,4,Ngoài lộ,278396
"4,8 tỷ",60m2,"Mặt tiền đường nhựa kinh doanh thông đi Lê Văn Quới, Tân Kỳ Tân Quý, Bình Long, Bình Hưng Hòa A, Bình Tân",2,Not mentioned,2,"SHR hoàn công đủ, vuông vức thông số vàng",Lê Văn Quới,Tân Kỳ Tân Quý,Bình Tân,6,"Not explicitly mentioned, but 'Mặt tiền đường nhựa kinh doanh thông đi' suggests it's on a main road",278393
3.5 tỷ VND,Not mentioned,"Hẻm ô tô đỗ cửa Trường Chinh, gần Khu Bàu Cát",2,Not mentioned,1 lầu,Tiện ích xung quanh đầy đủ,Trường Chinh,Not mentioned,Not mentioned,Not mentioned,Nhà trong hẻm,278359
"5,8 Tỷ","60,6 m2","đường Đặng Văn Bi, P Trường Thọ",3,3,2,"nhà ăn rộng, phòng thờ, sân thượng rộng",Đặng Văn Bi,Trường Thọ,Thủ Đức,5m,nhà trong hẻm,278311
5 tỷ VND,58m2 (4x14.5),"Đường số 8, Linh Xuân, Thủ Đức",1,1,1,"Sân thượng, hàng xóm thân thiện, yên tĩnh, ô tô ngủ trong nhà, hẻm ô tô tránh",Đường số 8,Linh Xuân,Thủ Đức,30m,Nhà trong hẻm,278310
"4,2 tỷ VND",84m2,"HXH Hồ Học Lãm, An Lạc, Bình Tân",Not specified,Not specified,Not specified,"SHR hoàn công đủ, vuông vức",Not specified,An Lạc,Bình Tân,Not specified,Not specified,278309
"5,8 Tỷ","60,6 m2","đường Đặng Văn Bi, P Trường Thọ",3,3,2,"phòng khách, nhà ăn, phòng thờ, sân thượng",Đặng Văn Bi,Trường Thọ,Thủ Đức,5m,nhà trong hẻm,278307
5 tỷ VND,280m2,"Đỗ Xuân Hợp, Dương Đình Hội",5,4,4,"View công viên tương lai, Khu dân trí cao, an ninh",Đỗ Xuân Hợp,Not mentioned,Not mentioned,Not mentioned,Ngoài lộ,278300
5.3 tỷ VND,85m2,"Đường 11, Phường Linh Xuân, Thủ Đức",3,2 WC,1T + 1L,"Sân để xe hơi, Dân cư thân thiện, yên tĩnh an ninh, không ồn ào",Đường 11,Linh Xuân,Thủ Đức,2,Nhà trong hẻm,278297
3.x tỷ VND,50m2 (4.5 x 11m),"Phường 5, Phú Nhuận",3,2,2,"Phòng khách, bếp, quầy bar, đường rộng rãi, an ninh, gần CoopMart, BV Hoàn Mỹ, chợ Nguyễn Đình Chiểu, Công an phường, phố ẩm thực, sân bay Tân Sơn Nhất",Not specified,Phường 5,Phú Nhuận,Not specified,Ngoài lộ,278295
6.7 tỷ VND,140m2 (ngang 7m dài 20m),Phường Trường Thạnh Quận 9,3,1,2,"sân thượng, sân vườn, tiện ích đầy đủ",Lò Lu,Phường Trường Thạnh,Quận 9,Not mentioned,Ngoài lộ,278294
6.7 tỷ VND,35m²,Quận 3,3,Not mentioned,4,"Full nội thất cao cấp, ban công mỗi lầu, sân thượng, 2 mặt hẻm xe hơi 5m",Not mentioned,Not mentioned,Quận 3,2,Nhà trong hẻm,278293
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,278291
"4,1 tỷ VND",52m2,"Hẻm Mã Lò, Hương Lộ 2, Lê Văn Quới, Bình Trị Đông A, Bình Tân",2,2,2,"SHR hoàn công đủ, vuông vức",Hương Lộ 2,Bình Trị Đông A,Bình Tân,6m,Nhà trong hẻm,278358
12 tỷ VND,4x18m,"TT Quận 6, Khu Cư Xá Phú Lâm B, Đ.Số 10, Gần Mặt Tiền Bà Hom, Chợ Phú Lâm",Not specified,Not specified,5,"Thang máy, nội thất xịn, cao cấp, sang trọng",Đ.Số 10,Phường Phú Lâm,Quận 6,12m,Nội bộ,278289
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,278357
3 tỉ 640 triệu,"3,2m x 6,6m","Trần Cao Vân, Phường 12, Phú Nhuận",3,3,2,"phòng khách, nhà bếp, nội thất mới",Trần Cao Vân,Phường 12,Phú Nhuận,Not mentioned,Not mentioned,278349
"6,5 tỷ","55m2 (công nhận sổ), gần 80m2 (thực tế), diện tích sàn 150m2","Đường Đặng Văn Bi, Trường Thọ, Thủ Đức",4,5,3,"Khu Phân Lô an Ninh, hàng xóm toàn cô chú về hưu, làm công ty, Gia đình công viên chức, Đường xe hơi tận cửa nhà, nhà sát Mặt Tiền Đặng Văn Bi, Nhà thiết kế đẹp có sân vườn, kết cấu kiên cố sang trọng, Gia chủ tặng lại toàn bộ nội thất cho chủ nhân mới, Sổ hồng riêng, hoàn công đầy đủ",Đặng Văn Bi,Trường Thọ,Thủ Đức,"Ngang 6,5mx12m",Hẻm 1/ Đặng Văn Bi,278348
3.75 tỷ,Not specified in the listing,Cạnh ngân hàng ACB Phan Huy Ích,2,Not specified in the listing,2,"Ban công, sân xe",Phan Huy Ích,Not specified in the listing,Not specified in the listing,Not specified in the listing,"Hẻm xe hơi, vài bước ra mặt tiền",278325
8.1 tỷ VND,65m2 (5.4x12),"Phường Bình Thọ, Thủ Đức",2,Not specified,2,"Sổ hồng đẹp, pháp lý chuẩn chu, nội thất xịn xò, tiện ích thì không cần bàn",Not specified,Bình Thọ,Thủ Đức,6m,Hẻm,278324
"4,99 tỷ VND",62 m2 (5 x 14 square meters),"Tân Bình district, near major roads such as Trường Chinh, Lạc Long Quân, Cộng Hoà, Âu Cơ, Thoại Ngọc Hầu, Lý Thường Kiệt, and Cách Mạng Tháng 8",4,4,5,"Sổ hồng chủ đang cất tủ, khu an ninh yên tĩnh",Not mentioned in the text,Not mentioned in the text,Tân Bình,Not mentioned in the text,Hẻm ba gác tránh,278320
4.9 tỷ,64m2,Nam Hùng Vương - An Lạc,2,2,2,"Phòng khách, bếp, sân thượng",Nam Hùng Vương,An Lạc,Not mentioned,6m,Nhà trong hẻm,278319
10.7 tỷ VND,"70m2, 4.4m x 16m","Phạm Huy Thông, Phường 7 Gò Vấp",5,6,5,"Sổ hồng, công chứng ngay",Phạm Huy Thông,Phường 7,Gò Vấp,Not mentioned,Hẻm,278284
Not provided in the text,43m2,"Đường Nguyễn Bặc, phường 3, quận Tân Bình",3,3,1 trệt 2 lầu (1 ground floor and 2 upper floors),"Sân thượng rộng (large rooftop), nội thất sang trọng (luxurious interior), thiết kế hiện đại phong cách Châu Âu (modern European design)",Nguyễn Bặc,Phường 3,Quận Tân Bình,6.24m,Not specified in the text,278247
6.4 tỷ VND,53m2 (4m x 13m),HXH tránh Đường số 51 Phường 14 Gò Vấp,3,3,3,"Sân thượng, ban công, giếng trời",Đường số 51,Phường 14,Gò Vấp,6m,Hẻm xe hơi thông,278241
7 tỷ VND,"50m2, 4m x 12.5m",HXH Quang Trung Phường 08 Gò Vấp,4,3,4,"phòng thờ, sân thượng, sân để xe, ban công từng tầng, giếng trời, hệ thống điện trước khi vào nhà đi âm trước đường",HXH Quang Trung,Phường 08,Gò Vấp,4m,ngoài lộ,278237
4 tỷ VND,45m2 (4 x 16.5m),"Tân Hương, Tân Phú",3,3,3,"phòng khách, bếp, đầy đủ công năng",Hẻm Xe Tải Thông KD,Tân Hương,Tân Phú,4,Nhà trong hẻm,278236
4.x tỷ VND,Ngang 4.5m,"Trung tâm Phường 3, Bình Thạnh",4,3,3,"camera an ninh 24/24, phòng khách, bếp rộng rãi, ban công cực thoáng cực mát, sạch sẽ, an ninh, gần chợ Bà Chiểu, Coopmart, BV Hoàn Mỹ, BV Bình Thạnh, UBND quận, phố ẩm thực","Lê Văn Duyệt, Phan Xích Long, Phan Đăng Lưu, Bạch Đằng, Trường Sa",Phường 3,Bình Thạnh,3,Nhà trong hẻm,278228
Not provided in the listing,Not provided in the listing,"Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú",3,Not provided in the listing,3,"Nội thất thiết kế sang trọng, toàn gỗ xịn, phòng thờ, sân thượng",Tân Sơn Nhì,Tân Sơn Nhì,Tân Phú,Not provided in the listing,"Hẻm nhựa thông xe tải chạy vòng quanh, khu VIP toàn nhà lớn",278224
"4,35 tỷ",56m2,"Mã Lò, Gò Xoài, Lê Văn Quới, Bình Hưng Hòa A, Bình Tân",3,Not specified,4,"OTO thông vào nhà, hoàn công đủ, vuông vức",Mã Lò,Bình Hưng Hòa A,Bình Tân,Not specified,Nhà trong hẻm,278220
16.8 tỷ,160m2,Cư Xá Phú Lâm B - Quận 6,5,2,Not mentioned,"Khu quy hoạch bàn cờ ngăn nắp, Khu dân cư văn minh, an ninh tốt, Tiện ích xung quanh không thiếu gì, Không quy hoạch, không lộ giới",Not mentioned,Not mentioned,Quận 6,10m,Ngoài lộ,278218
Not provided in the text,Not provided in the text,"Nguyễn Tử Nha, Phường 12, Quận Tân Bình",4,4,1 trệt + 2 lầu + sân thượng,Not provided in the text,Nguyễn Tử Nha,Phường 12,Quận Tân Bình,1,Not specified,278217
4.9 tỷ,130m2,"Đường số 8, Phường Linh Xuân, Thủ Đức",Not specified,Not specified,Not specified,"Sổ hồng riêng, Hẻm xe hơi",Đường số 8,Linh Xuân,Thủ Đức,35m,Hẻm xe hơi,278214
2 tỷ,Not specified in the text,"Trung tâm Linh Trung, Thủ Đức",Not specified in the text,Not specified in the text,2 tầng,"Near Trường Đại Học Ngân Hàng, Học Viện Tư Pháp, ĐH Cảnh Sát",Not specified in the text,Not specified in the text,Thủ Đức,Not specified in the text,Not specified in the text,278282
3 tỷ VND,48m2,"Hẻm thông Huỳnh Văn Nghệ, gần mặt tiền Huỳnh Văn Nghệ, Phan Huy Ích",Not mentioned,Not mentioned,Not mentioned,"Hẻm thông đẹp, an ninh, tiện ích đầy đủ, gần trường học, chợ",Huỳnh Văn Nghệ,Not mentioned,Not mentioned,Not mentioned,Nhà trong hẻm,278211
14 tỷ VND,"160m2, 8 x 20m",Bán Nhà C4 Căn Góc Không Lộ Giới - Hương Lộ 2 - Bình Tân,4 (phòng trọ cho thuê),Not specified,Not specified,"Chợ, Trường Học, Ngân hàng, yên tĩnh, an ninh",Hương Lộ 2,Not specified,Bình Tân,Not specified,Hẻm Nhựa 7m,278271
5.2 tỷ,110m2,"Nhà Đỗ Xuân Hợp, gần trường Đại học Văn Hóa, Cao dẳng Kỹ Thương, cao đẳng kinh tê đối ngoại, khu vực dân cư ổn định, trung tâm Q.9",6,5,4,ban công thoáng đón gió thoáng mát,Đỗ Xuân Hợp,Not mentioned,Quận 9,Not mentioned,Not mentioned,278267
Not mentioned,Not mentioned,"TP Thủ Đức, Quận 2",Not mentioned,Not mentioned,2,"Ban công, phòng phơi đồ, giặt đồ riêng",Not mentioned,Not mentioned,Quận 2,Not mentioned,Nhà cách mặt tiền đường khoảng 2m,278263
18 tỷ đồng 80 triệu,110m2,"Quận 6, CV Phú Lâm",Not mentioned,Not mentioned,6,Not mentioned,CV Phú Lâm,Not mentioned,Quận 6,2,Ngoài lộ,278262
2.6 tỷ VND,35 m2,"Trung tâm Linh Trung, Thủ Đức",Not mentioned,Not mentioned,2,"Near Ngân Hàng University, Tư Pháp Academy, and Cảnh Sát University, friendly neighborhood, civilized and clean community",Not mentioned,Not mentioned,Thủ Đức,Not mentioned,Not mentioned,278261
7 tỷ VND,CD 5.1m và CR 11m,Nằm trên đường Phạm Văn Chiêu thuộc trung tâm Gò Vấp,3,3,4,Nội thất cao cấp,Phạm Văn Chiêu,Not mentioned,Gò Vấp,Not mentioned,Hẻm nhựa xe tải vào,278260
5.x tỷ VND,60m2,"Phường 17, Bình Thạnh, near Quận 1",2,2,2,"Phòng khách, bếp, ban công thoáng mát, nhiều cửa sổ, sàn lót gỗ cao cấp",Not mentioned,Phường 17,Bình Thạnh,2,Ngoài lộ,278255
4.95 tỷ VND,Not specified in the text,"Hoàng Hoa Thám, P.13, Tân Bình",3,Not specified in the text,3,"Vị trí trung tâm, hẻm rộng xe hơi đỗ cổng, tiện ích xung quanh đầy đủ, khu vực an ninh",Hoàng Hoa Thám,P.13,Tân Bình,Not specified in the text,Nhà trong hẻm,278210
5 tỷ TL,4x14m,"Hẻm xe hơi đường Mã Lò, cách mặt tiền đường Tân Kỳ Tân Quý chỉ 500m",Not mentioned,Not mentioned,1 lầu,"chợ, siêu thị, trường học, dịch vụ ăn uống, cửa hàng công nghệ",Mã Lò,Not mentioned,Not mentioned,6m,Hẻm,278186
5.75 tỷ VND,4.2x12.5m,"Hẻm xe hơi đường Hương Lộ 2, Khu dân cư an ninh, dân trí cao, văn minh, sạch sẽ",4,4,3,"siêu thị, trường học các cấp, bệnh viện, chợ, dịch vụ ăn uống, cửa hàng công nghệ",Hương Lộ 2,Not mentioned,Not mentioned,Not mentioned,Hẻm xe hơi,278175
7.8 tỷ VND,4.1x18m,"Hẻm xe hơi thông đường Hương Lộ 2, Khu dân cư an ninh, dân trí cao, văn minh, sạch sẽ",4,4,3,"siêu thị, trường học các cấp, bệnh viện, chợ, dịch vụ ăn uống, cửa hàng công nghệ",Hương Lộ 2,Not mentioned,Not mentioned,Not mentioned,Nhà trong hẻm,278173
1 tỷ 450 triệu,"36,4m2","đường Lê Hồng Phong, P2, Q.10",3,1,2,"Sổ đỏ, nội thất xịn sò, sân thượng rộng rãi, sân để xe hơi riêng",Lê Hồng Phong,P2,Q.10,Not mentioned,Hẻm xe hơi tránh nhau,278171
Thương lượng,37.1m² (3.5x10.51m),"Âu Dương Lân, Phường 3, Quận 8",4,3,"2 (1 trệt, 1 lửng)",Sân để xe trước nhà,Âu Dương Lân,Phường 3,Quận 8,Not mentioned,Not mentioned,278170
5.6 tỷ VND,4x18m,"Hẻm xe hơi thông đường Miếu Gò Xoài, Liên Khu 8-9, Gò Xoài",Not specified,Not specified,2,"Chợ, siêu thị, cửa hàng công nghệ, dịch vụ ăn uống",Miếu Gò Xoài,Gò Xoài,Not specified,Not specified,Nhà trong hẻm,278167
7.2 tỷ VND,5x28m,Hẻm xe hơi thông đường Lê Đình Cẩn,Not mentioned,Not mentioned,Not mentioned,"Chợ, trường học các cấp, siêu thị, bệnh viện, cửa hàng công nghệ, dịch vụ ăn uống",Lê Đình Cẩn,Not mentioned,Not mentioned,Not mentioned,Hẻm xe hơi,278164
5.6 tỷ VND,4x16m,"Hẻm xe hơi đường Hương Lộ 2, Khu dân cư an ninh, dân trí cao, văn minh, sạch sẽ",4,4,3,"Chợ, siêu thị, trường học các cấp, bệnh viện, dịch vụ ăn uống, cửa hàng công nghệ",Hương Lộ 2,Not mentioned,Not mentioned,Not mentioned,Hẻm xe hơi,278159
1 tỷ 990 triệu,3.7x8.1m (30m2),Mặt tiền hẻm 6mét Lê Văn Duyệt phường 3 quận Bình Thạnh,Not mentioned,Not mentioned,Not mentioned,"Nằm ngay vị trí trung tâm, thuận lợi đi qua các quận 1,2,3 Phú Nhuận, Tân Bình, Gò Vấp, Cách bệnh viện Gia định 200m, kế bên là các trường học cấp 1,2,3 và trường Đại học, Hệ thống ngân hàng dày đặc",Lê Văn Duyệt,Phường 3,Quận Bình Thạnh,6 mét,Hẻm,278153
4.x tỷ,40m2,"Nhà sát mặt tiền Bạch Đằng, Phường 15, Bình Thạnh",3,2,2,"Phòng khách, bếp đầy đủ công năng, sạch sẽ, an ninh, yên tĩnh, gần chợ Bà Chiểu, BV Bình Thạnh, UBND quận, Công an phường, ĐH Hutech",Bạch Đằng,Phường 15,Bình Thạnh,Not specified,Ngoài lộ,278152
1 tỷ 450 triệu,"36,4 m2","đường Lê Hồng Phong, P2, Q.10",3,1,2,"Sổ có sẵn, nhà hiện đang ở, nội thất xịn sò nhập khẩu, sân thượng rộng rãi, sân để xe hơi riêng",Lê Hồng Phong,P2,Q.10,"3,5 m",nhà trong hẻm,278209
"4,5 tỷ VND",71m2,"Hẻm 8M vài bước ra Hương Lộ 2, Bình Tân",Not mentioned,Not mentioned,2,Not mentioned,Hương Lộ 2,Not mentioned,Bình Tân,Not mentioned,Hẻm,278148
6 tỷ,73 m2,"Gò Vấp, kế bên chợ phạm văn bạch, nguyễn tư giản, phan huy ích",4,4,4,sân thượng và ban công thoáng mát,not specified,not specified,Gò Vấp,not specified,nhà trong hẻm,278208
6.8 tỷ VND,6x7 m2,"Hẻm 3m ra 20m tới mặt tiền Chu Văn An, Phường 12, Bình Thạnh",4,3,3,Nhà mới,Chu Văn An,Phường 12,Bình Thạnh,Not provided,Nhà trong hẻm,278199
